GENE,KSP [1/hr],KDP [1/hr]
UBE2J1,201.180000,0.047541
UBE2K,1799.940000,0.009490
UBE2L3,2340.740000,0.008049
UBE2L6,70.500000,0.009345
UBE2M,403.150000,0.016579
UBE2Q1,37.040000,0.023299
UBE2Q2,57.480000,0.052551
UBE2R2,208.640000,0.048574
UBE2T,166.390000,0.068290
UBE2Z,249.410000,0.015465
UBE3A,173.360000,0.018303
UBE3C,41.670000,0.023151
UBE4A,24.590000,0.045333
UBE4B,112.140000,0.056916
UBLCP1,463.120000,0.014292
UBR1,18.820000,0.022110
UBR2,115.260000,0.040113
UBR3,2.010000,0.067100
UBR4,69.240000,0.018222
UBR5,30.740000,0.087408
UCK1,280.220000,0.052751
UCK2,365.380000,0.078057
UGDH,611.230000,0.016390
UGP2,667.890000,0.002419
UGT1A6,243.900000,0.006370
UHRF1,168.350000,0.133554
UMPS,1332.980000,0.009538
UPP1,25.960000,0.010283
UPRT,108.740000,0.023910
UQCR10,75.110000,0.014568
UQCRB,448.750000,0.018023
UQCRC1,418.060000,0.003556
UQCRC2,873.650000,0.003580
UQCRFS1,294.520000,0.006950
UQCRH,22.940000,0.003832
UQCRQ,176.220000,0.022749
UROD,177.050000,0.014553
USP10,23.440000,0.009658
USP14,587.240000,0.015753
USP15,62.370000,0.014510
USP19,35.710000,0.061668
USP24,14.690000,0.009787
USP25,3.230000,0.037960
USP3,24.460000,0.030616
USP30,3.560000,0.012046
USP32,5.980000,0.012349
USP4,30.740000,0.022159
USP40,9.000000,0.018231
USP47,99.220000,0.038767
USP48,6.890000,0.026845
USP7,103.990000,0.010397
USP8,17.780000,0.037981
USP9X,98.780000,0.032180
VARS,269.100000,0.005810
VARS2,269.100000,0.005810
VRK1,614.740000,0.016225
VRK2,58.630000,0.012711
WARS,342.590000,0.002688
WARS2,71.560000,0.005260
WNK1,23.750000,0.019233
WWP2,3.640000,0.034605
XDH,104.030000,0.017153
XPO6,3.260000,0.026335
YARS,439.590000,0.000801
YARS2,198.310000,0.009904
ZC3HAV1,97.350000,0.043870
ZNRD1,76.920000,0.032665
ZNRF2,121.400000,0.029942
